127.0.0.1 - - [15/Aug/2024:20:37:07 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Aug/2024:20:37:09 +0700] "GET /bai_tap_jsp_servlet/login HTTP/1.1" 200 2520
0:0:0:0:0:0:0:1 - - [15/Aug/2024:20:37:09 +0700] "GET /bai_tap_jsp_servlet/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2024:20:37:09 +0700] "GET /img/logos/logo-dark.svg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [15/Aug/2024:20:37:18 +0700] "POST /bai_tap_jsp_servlet/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Aug/2024:20:37:19 +0700] "GET /bai_tap_jsp_servlet/home?page=1 HTTP/1.1" 200 23635
0:0:0:0:0:0:0:1 - - [15/Aug/2024:20:37:30 +0700] "GET /bai_tap_jsp_servlet/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Aug/2024:20:37:30 +0700] "GET /bai_tap_jsp_servlet/login HTTP/1.1" 200 2520
0:0:0:0:0:0:0:1 - - [15/Aug/2024:20:37:30 +0700] "GET /img/logos/logo-dark.svg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [15/Aug/2024:20:37:39 +0700] "GET /bai_tap_jsp_servlet/home?page=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Aug/2024:20:37:39 +0700] "GET /bai_tap_jsp_servlet/login HTTP/1.1" 200 2520
0:0:0:0:0:0:0:1 - - [15/Aug/2024:20:37:39 +0700] "GET /img/logos/logo-dark.svg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [15/Aug/2024:20:37:51 +0700] "POST /bai_tap_jsp_servlet/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Aug/2024:20:37:51 +0700] "GET /bai_tap_jsp_servlet/home?page=1 HTTP/1.1" 200 23635
0:0:0:0:0:0:0:1 - - [15/Aug/2024:20:37:56 +0700] "GET /bai_tap_jsp_servlet/EditEmployee?id=106 HTTP/1.1" 200 9982
0:0:0:0:0:0:0:1 - - [15/Aug/2024:20:38:02 +0700] "GET /bai_tap_jsp_servlet/EditEmployee?id=106333 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Aug/2024:20:39:30 +0700] "GET /bai_tap_jsp_servlet/EditEmployee?id=106333 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Aug/2024:20:39:34 +0700] "GET /bai_tap_jsp_servlet/EditEmployee?id=0 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Aug/2024:20:39:49 +0700] "GET /bai_tap_jsp_servlet/EditEmployee?id=0 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Aug/2024:20:40:02 +0700] "GET /bai_tap_jsp_servlet/EditEmployee?id=0 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Aug/2024:20:40:02 +0700] "GET /bai_tap_jsp_servlet/login HTTP/1.1" 200 2520
0:0:0:0:0:0:0:1 - - [15/Aug/2024:20:40:02 +0700] "GET /img/logos/logo-dark.svg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [15/Aug/2024:20:40:08 +0700] "POST /bai_tap_jsp_servlet/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Aug/2024:20:40:08 +0700] "GET /bai_tap_jsp_servlet/home?page=1 HTTP/1.1" 200 23635
0:0:0:0:0:0:0:1 - - [15/Aug/2024:20:40:12 +0700] "GET /bai_tap_jsp_servlet/EditEmployee?id=106 HTTP/1.1" 200 9982
0:0:0:0:0:0:0:1 - - [15/Aug/2024:20:40:15 +0700] "GET /bai_tap_jsp_servlet/EditEmployee?id=10690 HTTP/1.1" 404 723
0:0:0:0:0:0:0:1 - - [15/Aug/2024:20:54:07 +0700] "GET /bai_tap_jsp_servlet/login HTTP/1.1" 200 2520
0:0:0:0:0:0:0:1 - - [15/Aug/2024:20:54:07 +0700] "GET /bai_tap_jsp_servlet/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2024:20:54:07 +0700] "GET /img/logos/logo-dark.svg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [15/Aug/2024:20:54:14 +0700] "POST /bai_tap_jsp_servlet/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Aug/2024:20:54:14 +0700] "GET /bai_tap_jsp_servlet/home?page=1 HTTP/1.1" 200 23635
0:0:0:0:0:0:0:1 - - [15/Aug/2024:20:54:18 +0700] "GET /bai_tap_jsp_servlet/EditEmployee?id=106 HTTP/1.1" 200 9982
0:0:0:0:0:0:0:1 - - [15/Aug/2024:20:54:51 +0700] "POST /bai_tap_jsp_servlet/EditEmployee HTTP/1.1" 200 9895
